typo;typo_min;typvoie;prevoie;nomvoie
RUE SAINT-SAENS;rue Saint-Saëns;rue;;Saint-Saëns
VILLA DE LA TERRASSE;villa de la Terrasse;villa;de la;Terrasse
RUE VALENTIN HAUY;rue Valentin Haüy;rue;;Valentin Haüy
RUE DES SUISSES;rue des Suisses;rue;des;Suisses
VOIE AY/17;voie AY/17;voie;;AY/17
PLACE EUGENE CLAUDIUS-PETIT;place Eugène Claudius-Petit;place;;Eugène Claudius-Petit
RUE THUREAU-DANGIN;rue Thureau-Dangin;rue;;Thureau-Dangin
PLACE JOSEPHINE BAKER;place Joséphine Baker;place;;Joséphine Baker
RUE MAXIME LISBONNE;rue Maxime Lisbonne;rue;;Maxime Lisbonne
PLACE GHISLAINE DUPONT - CLAUDE VERLON - CAMILLE LEPAGE;place Ghislaine Dupont - Claude Verlon - Camille Lepage;place;;Ghislaine Dupont - Claude Verlon - Camille Lepage
IMPASSE D'AMSTERDAM;impasse d'Amsterdam;impasse;d';Amsterdam
PLACE JEAN DELAY;place Jean Delay;place;;Jean Delay
RUE DE L'ATLAS;rue de l'Atlas;rue;de l';Atlas
RUE AUGUSTE VITU;rue Auguste Vitu;rue;;Auguste Vitu
RUE ANGELIQUE COMPOINT;rue Angélique Compoint;rue;;Angélique Compoint
VOIE FN/13;voie FN/13;voie;;FN/13
RUE DE VALOIS;rue de Valois;rue;de;Valois
PLACE PAUL-EMILE VICTOR;place Paul-Émile Victor;place;;Paul-Émile Victor
RUE ANDROUET;rue Androuet;rue;;Androuet
RUE DE BELLECHASSE;rue de Bellechasse;rue;de;Bellechasse
ALLEE DU PROFESSEUR JEAN BERNARD;allée du Professeur Jean Bernard;allée;du;Professeur Jean Bernard
PLACE LOUISE CATHERINE BRESLAU ET MADELEINE ZILLHARDT;place Louise Catherine Breslau et Madeleine Zillhardt;place;;Louise Catherine Breslau et Madeleine Zillhardt
QUAI D'ANJOU;quai d'Anjou;quai;d';Anjou
RUE DE L'AMIRAL DE COLIGNY;rue de l'Amiral de Coligny;rue;de l';Amiral de Coligny
RUELLE AU PERE FRAGILE;ruelle Au Père Fragile;ruelle;;Au Père Fragile
PLACE MARTHE SIMARD;place Marthe Simard;place;;Marthe Simard
PASSAGE JACQUELINE GIRAUD;passage Jacqueline Giraud;passage;;Jacqueline Giraud
RUE BARBANEGRE;rue Barbanègre;rue;;Barbanègre
RUE DE L'AMIRAL HAMELIN;rue de l'Amiral Hamelin;rue;de l';Amiral Hamelin
RUE EMILE BOLLAERT;rue Émile Bollaert;rue;;Émile Bollaert
SQUARE ARAGO;square Arago;square;;Arago
RUE AMYOT;rue Amyot;rue;;Amyot
QUAI DE L'ARCHEVECHE;quai de l'Archevêché;quai;de l';Archevêché
VOIE CT/17;voie CT/17;voie;;CT/17
RUE DU GENERAL ALAIN DE BOISSIEU;rue du Général Alain de Boissieu;rue;du;Général Alain de Boissieu
RUE DES GRANDS MOULINS;rue des Grands Moulins;rue;des;Grands Moulins
RUE DU CHEVALIER DE SAINT-GEORGE;rue du Chevalier de Saint-George;rue;du;Chevalier de Saint-George
PLACE MAURICE COUVE DE MURVILLE;place Maurice Couve de Murville;place;;Maurice Couve de Murville
IMPASSE BARRIER;impasse Barrier;impasse;;Barrier
RUE ALASSEUR;rue Alasseur;rue;;Alasseur
PLACE ALPHONSE LAVERAN;place Alphonse Laveran;place;;Alphonse Laveran
RUE RENE RAVAUD;rue René Ravaud;rue;;René Ravaud
RUE D'ANKARA;rue d'Ankara;rue;d';Ankara
PLACE HANNAH ARENDT;place Hannah Arendt;place;;Hannah Arendt
ESPLANADE PIERRE VIDAL-NAQUET;esplanade Pierre Vidal-Naquet;esplanade;;Pierre Vidal-Naquet
RUE ALEXANDER FLEMING;rue Alexander Fleming;rue;;Alexander Fleming
RUE DEBELLEYME;rue Debelleyme;rue;;Debelleyme
COUR D'ALSACE-LORRAINE;cour d'Alsace-Lorraine;cour;d';Alsace-Lorraine
VILLA DE L'ASTROLABE;villa de l'Astrolabe;villa;de l';Astrolabe
RUE ARTHUR ROZIER;rue Arthur Rozier;rue;;Arthur Rozier
RUE ALBERT SOREL;rue Albert Sorel;rue;;Albert Sorel
CITE DE L'AMEUBLEMENT;cité de l'Ameublement;cité;de l';Ameublement
RUE D'ALLERAY;rue d'Alleray;rue;d';Alleray
PASSAGE DE LA COUR DES FONTAINES;passage de la Cour des Fontaines;passage;de la;Cour des Fontaines
RUE BELLIER-DEDOUVRE;rue Bellier-Dedouvre;rue;;Bellier-Dedouvre
CITE DE L'ALMA;cité de l'Alma;cité;de l';Alma
RUE AUGUSTE CHAPUIS;rue Auguste Chapuis;rue;;Auguste Chapuis
PLACE DU BATAILLON FRANCAIS DE L'O.N.U. EN COREE;place du Bataillon Français de L'O.N.U. en Corée;place;du;Bataillon Français de L'O.N.U. en Corée
RUE DE LA COSSONNERIE;rue de la Cossonnerie;rue;de la;Cossonnerie
RUE DE L'AMIRAL COURBET;rue de l'Amiral Courbet;rue;de l';Amiral Courbet
ALLEE DE LA COMTESSE DE SEGUR;allée de la Comtesse de Ségur;allée;de la;Comtesse de Ségur
PASSAGE DE L'ASILE;passage de l'Asile;passage;de l';Asile
PASSAGE CHOISEUL;passage Choiseul;passage;;Choiseul
RUE DU DOCTEUR BOURNEVILLE;rue du Docteur Bourneville;rue;du;Docteur Bourneville
RUE DE L'ARSENAL;rue de l'Arsenal;rue;de l';Arsenal
RUE CINO DEL DUCA;rue Cino Del Duca;rue;;Cino Del Duca
RUE DE COULMIERS;rue de Coulmiers;rue;de;Coulmiers
RUE DESAUGIERS;rue Désaugiers;rue;;Désaugiers
RUE DES CEVENNES;rue des Cévennes;rue;des;Cévennes
RUE CHABANAIS;rue Chabanais;rue;;Chabanais
RUE DES BLUETS;rue des Bluets;rue;des;Bluets
RUE DE CHERBOURG;rue de Cherbourg;rue;de;Cherbourg
RUE BOULARD;rue Boulard;rue;;Boulard
RUE MARGUERITE BOUCICAUT;rue Marguerite Boucicaut;rue;;Marguerite Boucicaut
ALLEE DES CYGNES;allée des Cygnes;allée;des;Cygnes
RUE DE CERISOLES;rue de Cerisoles;rue;de;Cerisoles
RUE CLAUDE DEBUSSY;rue Claude Debussy;rue;;Claude Debussy
RUE DU CHAMP DE L'ALOUETTE;rue du Champ de l'Alouette;rue;du;Champ de l'Alouette
RUE DAVIOUD;rue Davioud;rue;;Davioud
RUE DES DECHARGEURS;rue des Déchargeurs;rue;des;Déchargeurs
ALLEE DIANE DE POITIERS;allée Diane de Poitiers;allée;;Diane de Poitiers
RUE CHARLES NICOLLE;rue Charles Nicolle;rue;;Charles Nicolle
RUE CLAIRAUT;rue Clairaut;rue;;Clairaut
RUE DU COMMANDANT L'HERMINIER;rue du Commandant L'Herminier;rue;du;Commandant L'Herminier
RUE DE LA COLOMBE;rue de la Colombe;rue;de la;Colombe
RUE DE BOUVINES;rue de Bouvines;rue;de;Bouvines
RUE DU GENERAL DE LARMINAT;rue du Général de Larminat;rue;du;Général de Larminat
RUE GREGOIRE DE TOURS;rue Grégoire de Tours;rue;;Grégoire de Tours
RUE DE BUZENVAL;rue de Buzenval;rue;de;Buzenval
RUE CADET;rue Cadet;rue;;Cadet
RUE CHAMPOLLION;rue Champollion;rue;;Champollion
RUE DU BOIS DE BOULOGNE;rue du Bois de Boulogne;rue;du;Bois de Boulogne
RUE CAILLETET;rue Cailletet;rue;;Cailletet
RUE CESAR FRANCK;rue César Franck;rue;;César Franck
VILLA DES BUTTES CHAUMONT;villa des Buttes Chaumont;villa;des;Buttes Chaumont
ALLEE DE BERCY;allée de Bercy;allée;de;Bercy
RUE CAPLAT;rue Caplat;rue;;Caplat
RUE GRAMME;rue Gramme;rue;;Gramme
RUE DE BRETONVILLIERS;rue de Bretonvilliers;rue;de;Bretonvilliers
QUAI DE GRENELLE;quai de Grenelle;quai;de;Grenelle
RUE DU CAPITAINE LAGACHE;rue du Capitaine Lagache;rue;du;Capitaine Lagache
RUE CARDUCCI;rue Carducci;rue;;Carducci
RUE BRANTOME;rue Brantôme;rue;;Brantôme
PASSAGE BRANTOME;passage Brantôme;passage;;Brantôme
BOULEVARD DE LA CHAPELLE;boulevard de la Chapelle;boulevard;de la;Chapelle
COUR DE LA GRACE DE DIEU;cour de la Grâce de Dieu;cour;de la;Grâce de Dieu
RUE DU CARDINAL MERCIER;rue du Cardinal Mercier;rue;du;Cardinal Mercier
RUE DE LA BOURSE;rue de la Bourse;rue;de la;Bourse
AVENUE DU GENERAL TRIPIER;avenue du Général Tripier;avenue;du;Général Tripier
VOIE M/12;voie M/12;voie;;M/12
VOIE K/17;voie K/17;voie;;K/17
VOIE H/15;voie H/15;voie;;H/15
RUE VICTOR GELEZ;rue Victor Gelez;rue;;Victor Gelez
RUE VICTORIEN SARDOU;rue Victorien Sardou;rue;;Victorien Sardou
ROUTE DES MERISIERS;route des Merisiers;route;des;Merisiers
VOIE CC/15;voie CC/15;voie;;CC/15
VOIE DL/20;voie DL/20;voie;;DL/20
VOIE DB/12;voie DB/12;voie;;DB/12
PORTE DE SAINT-MANDE;porte de Saint-Mandé;porte;de;Saint-Mandé
RUE VITAL;rue Vital;rue;;Vital
VOIE CQ/12;voie CQ/12;voie;;CQ/12
VOIE AT/16;voie AT/16;voie;;AT/16
RUE VICTOR LETALLE;rue Victor Letalle;rue;;Victor Letalle
VOIE AO/14;voie AO/14;voie;;AO/14
VOIE D/9;voie D/9;voie;;D/9
VOIE Y/13;voie Y/13;voie;;Y/13
VOIE P/12;voie P/12;voie;;P/12
HAMEAU MICHEL-ANGE;hameau Michel-Ange;hameau;;Michel-Ange
RUE MASPERO;rue Maspéro;rue;;Maspéro
RUE MICHELET;rue Michelet;rue;;Michelet
RUE MICHEL PETER;rue Michel Peter;rue;;Michel Peter
VOIE CJ/12;voie CJ/12;voie;;CJ/12
RUE NANSOUTY;rue Nansouty;rue;;Nansouty
AVENUE LEON HEUZEY;avenue Léon Heuzey;avenue;;Léon Heuzey
RUE SAINTE-ELISABETH;rue Sainte-Élisabeth;rue;;Sainte-Élisabeth
AVENUE FROCHOT;avenue Frochot;avenue;;Frochot
PLACE DU GENERAL GOURAUD;place du Général Gouraud;place;du;Général Gouraud
RUE DES ECLUSES SAINT-MARTIN;rue des Écluses Saint-Martin;rue;des;Écluses Saint-Martin
RUE DE LA MANUTENTION;rue de la Manutention;rue;de la;Manutention
RUE EMILE PIERRE CASEL;rue Émile Pierre Casel;rue;;Émile Pierre Casel
RUE DUPHOT;rue Duphot;rue;;Duphot
RUE EULER;rue Euler;rue;;Euler
RUE DE MONDOVI;rue de Mondovi;rue;de;Mondovi
RUE EMILE RICHARD;rue Émile Richard;rue;;Émile Richard
RUE FRANCAISE;rue Française;rue;;Française
AVENUE RODIN;avenue Rodin;avenue;;Rodin
RUE SISLEY;rue Sisley;rue;;Sisley
IMPASSE DE PRESLES;impasse de Presles;impasse;de;Presles
RUE DU PRE AUX CHEVAUX;rue du Pré aux Chevaux;rue;du;Pré aux Chevaux
PORTE RAMBUTEAU;porte Rambuteau;porte;;Rambuteau
RUE DES PYRENEES;rue des Pyrénées;rue;des;Pyrénées
VILLA SCHEFFER;villa Scheffer;villa;;Scheffer
RUE SCARRON;rue Scarron;rue;;Scarron
VILLA RIMBAUD;villa Rimbaud;villa;;Rimbaud
AVENUE DE LA PORTE DE VITRY;avenue de la Porte de Vitry;avenue;de la;Porte de Vitry
RUE RAMPONEAU;rue Ramponeau;rue;;Ramponeau
COUR QUELLARD;cour Quellard;cour;;Quellard
SQUARE RAYNOUARD;square Raynouard;square;;Raynouard
AVENUE DE LA PORTE DE SEVRES;avenue de la Porte de Sèvres;avenue;de la;Porte de Sèvres
AVENUE DE LA PORTE DES TERNES;avenue de la Porte des Ternes;avenue;de la;Porte des Ternes
RUE FREDERIC MAGISSON;rue Frédéric Magisson;rue;;Frédéric Magisson
PASSAGE DUBAIL;passage Dubail;passage;;Dubail
RUE FIRMIN GILLOT;rue Firmin Gillot;rue;;Firmin Gillot
RUE DES FRANCS BOURGEOIS;rue des Francs Bourgeois;rue;des;Francs Bourgeois
COUR DES FERMES;cour des Fermes;cour;des;Fermes
RUE DES FRERES FLAVIEN;rue des Frères Flavien;rue;des;Frères Flavien
RUE DE L'ESTRAPADE;rue de l'Estrapade;rue;de l';Estrapade
ALLEE DES FRERES VOISIN;allée des Frères Voisin;allée;des;Frères Voisin
RUE DUMERIL;rue Duméril;rue;;Duméril
RUE FREDERIC SAUTON;rue Frédéric Sauton;rue;;Frédéric Sauton
RUE GEORGETTE AGUTTE;rue Georgette Agutte;rue;;Georgette Agutte
RUE EUGENE PELLETAN;rue Eugène Pelletan;rue;;Eugène Pelletan
PLACE DE L'EGLISE D'AUTEUIL;place de l'Église d'Auteuil;place;de l';Église d'Auteuil
RUE SERVAN;rue Servan;rue;;Servan
AVENUE MARCEAU;avenue Marceau;avenue;;Marceau
RUE DU FAUBOURG MONTMARTRE;rue du Faubourg Montmartre;rue;du;Faubourg Montmartre
AVENUE DE FRANCE;avenue de France;avenue;de;France
RUE DE MONTEBELLO;rue de Montebello;rue;de;Montebello
RUE DUPERRE;rue Duperré;rue;;Duperré
RUE EMILE DEUTSCH DE LA MEURTHE;rue Émile Deutsch de la Meurthe;rue;;Émile Deutsch de la Meurthe
RUE FRANCISQUE GAY;rue Francisque Gay;rue;;Francisque Gay
PLACE JULES SENARD;place Jules Senard;place;;Jules Senard
RUE MAURICE ET LOUIS DE BROGLIE;rue Maurice et Louis de Broglie;rue;;Maurice et Louis de Broglie
IMPASSE EVEILLARD;impasse Éveillard;impasse;;Éveillard
PASSAGE KRACHER;passage Kracher;passage;;Kracher
RUE FAIDHERBE;rue Faidherbe;rue;;Faidherbe
VILLA VAUVENARGUES;villa Vauvenargues;villa;;Vauvenargues
VILLA SAINT-JACQUES;villa Saint-Jacques;villa;;Saint-Jacques
RUE TAITBOUT;rue Taitbout;rue;;Taitbout
VILLA DE LA TOUR;villa de la Tour;villa;de la;Tour
VOIE CD/12;voie CD/12;voie;;CD/12
VOIE EF/20;voie EF/20;voie;;EF/20
VILLA SOMMEILLER;villa Sommeiller;villa;;Sommeiller
RUE DU SOUDAN;rue du Soudan;rue;du;Soudan
VOIE DG/19;voie DG/19;voie;;DG/19
RUE DE TOURTILLE;rue de Tourtille;rue;de;Tourtille
RUE VINCENT SCOTTO;rue Vincent Scotto;rue;;Vincent Scotto
RUE DE TORCY;rue de Torcy;rue;de;Torcy
VOIE EG/20;voie EG/20;voie;;EG/20
RUE SAINTE-OPPORTUNE;rue Sainte-Opportune;rue;;Sainte-Opportune
RUE SORBIER;rue Sorbier;rue;;Sorbier
RUE VERNET;rue Vernet;rue;;Vernet
PORTE DE L'HIPPODROME;porte de l'Hippodrome;porte;de l';Hippodrome
RUE POQUELIN;rue Poquelin;rue;;Poquelin
RUE DE PARADIS;rue de Paradis;rue;de;Paradis
RUE PAUL HERVIEU;rue Paul Hervieu;rue;;Paul Hervieu
PLACE DE LA PORTE DE MONTREUIL;place de la Porte de Montreuil;place;de la;Porte de Montreuil
RUE ROLI;rue Roli;rue;;Roli
CITE POPINCOURT;cité Popincourt;cité;;Popincourt
RUE PESTALOZZI;rue Pestalozzi;rue;;Pestalozzi
RUE PAUL FORT;rue Paul Fort;rue;;Paul Fort
RUE NICOLAS RORET;rue Nicolas Roret;rue;;Nicolas Roret
PASSAGE REILHAC;passage Reilhac;passage;;Reilhac
PLACE DE LA PORTE MAILLOT;place de la Porte Maillot;place;de la;Porte Maillot
PASSAGE DE RICHELIEU;passage de Richelieu;passage;de;Richelieu
RUE VERON;rue Véron;rue;;Véron
CITE LECLAIRE;cité Leclaire;cité;;Leclaire
PASSAGE DE LA VOUTE;passage de la Voûte;passage;de la;Voûte
PLACE DU LIEUTENANT STEPHANE PIOBETTA;place du Lieutenant Stéphane Piobetta;place;du;Lieutenant Stéphane Piobetta
RUE DU RUISSEAU;rue du Ruisseau;rue;du;Ruisseau
SQUARE RACAN;square Racan;square;;Racan
RUE LA VIEUVILLE;rue La Vieuville;rue;;La Vieuville
RUE LIARD;rue Liard;rue;;Liard
RUE JULES GUESDE;rue Jules Guesde;rue;;Jules Guesde
RUE DE L'OLIVE;rue de l'Olive;rue;de l';Olive
RUE JEAN BEAUSIRE;rue Jean Beausire;rue;;Jean Beausire
VILLA WAGRAM-SAINT-HONORE;villa Wagram-Saint-Honoré;villa;;Wagram-Saint-Honoré
RUE WALDECK-ROUSSEAU;rue Waldeck-Rousseau;rue;;Waldeck-Rousseau
CITE MONTHIERS;cité Monthiers;cité;;Monthiers
RUE JEANNE HACHETTE;rue Jeanne Hachette;rue;;Jeanne Hachette
PLACE MARGUERITE DE NAVARRE;place Marguerite de Navarre;place;;Marguerite de Navarre
RUE DU PIC DE BARRETTE;rue du Pic de Barrette;rue;du;Pic de Barrette
PONT MORLAND;pont Morland;pont;;Morland
RUE LUCIEN LAMBEAU;rue Lucien Lambeau;rue;;Lucien Lambeau
BOULEVARD DE MAGENTA;boulevard de Magenta;boulevard;de;Magenta
RUE DE SEINE;rue de Seine;rue;de;Seine
RUE DES ORMEAUX;rue des Ormeaux;rue;des;Ormeaux
