typo;typo_min;typvoie;prevoie;nomvoie;dico
RUE LANCRET;rue Lancret;rue;;Lancret;2000_PARIS
PLACE FRANZ LISZT;place Franz Liszt;place;;Franz Liszt;2000_PARIS
AVENUE FREDERIC LE PLAY;avenue Frédéric Le Play;avenue;;Frédéric Le Play;2000_PARIS
RUE DE FLEURUS;rue de Fleurus;rue;de;Fleurus;2000_PARIS
IMPASSE FORTIN;impasse Fortin;impasse;;Fortin;2000_PARIS
RUE DU GENERAL BLAISE;rue du Général Blaise;rue;du;Général Blaise;2000_PARIS
GALERIE FEYDEAU;galerie Feydeau;galerie;;Feydeau;2000_PARIS
RUE DES FOSSES SAINT-BERNARD;rue des Fossés Saint-Bernard;rue;des;Fossés Saint-Bernard;2000_PARIS
RUE MONTCALM;rue Montcalm;rue;;Montcalm;2000_PARIS
VILLA DES FALAISES;villa des Falaises;villa;des;Falaises;2000_PARIS
SQUARE DE LA MUTUALITE;square de la Mutualité;square;de la;Mutualité;2000_PARIS
PLACE DE NARVIK;place de Narvik;place;de;Narvik;2000_PARIS
SQUARE MONCEY;square Moncey;square;;Moncey;2000_PARIS
RUE DUPLEIX;rue Dupleix;rue;;Dupleix;2000_PARIS
RUE SIMART;rue Simart;rue;;Simart;2000_PARIS
PASSAGE DES POSTES;passage des Postes;passage;des;Postes;2000_PARIS
IMPASSE SANDRIE;impasse Sandrié;impasse;;Sandrié;2000_PARIS
RUE DES SAUSSAIES;rue des Saussaies;rue;des;Saussaies;2000_PARIS
RUE DES QUATRE FRERES PEIGNOT;rue des Quatre Frères Peignot;rue;des;Quatre Frères Peignot;2000_PARIS
BOULEVARD DE PORT-ROYAL;boulevard de Port-Royal;boulevard;de;Port-Royal;2000_PARIS
AVENUE DE LA PORTE DE LA PLAINE;avenue de la Porte de la Plaine;avenue;de la;Porte de la Plaine;2000_PARIS
RUE PORTEFOIN;rue Portefoin;rue;;Portefoin;2000_PARIS
PLACE POSSOZ;place Possoz;place;;Possoz;2000_PARIS
RUE RAYMOND LOSSERAND;rue Raymond Losserand;rue;;Raymond Losserand;2000_PARIS
IMPASSE ROBERT;impasse Robert;impasse;;Robert;2000_PARIS
RUE QUENTIN-BAUCHART;rue Quentin-Bauchart;rue;;Quentin-Bauchart;2000_PARIS
RUE DU ROI DE SICILE;rue du Roi de Sicile;rue;du;Roi de Sicile;2000_PARIS
RUE DE PRAGUE;rue de Prague;rue;de;Prague;2000_PARIS
IMPASSE DU 49 FAUBOURG SAINT-MARTIN;impasse du 49 Faubourg Saint-Martin;impasse;du;49 Faubourg Saint-Martin;2000_PARIS
RUE ERNEST HEBERT;rue Ernest Hébert;rue;;Ernest Hébert;2000_PARIS
RUE D'ESTREES;rue d'Estrées;rue;d';Estrées;2000_PARIS
PLACE DU GENERAL BEURET;place du Général Beuret;place;du;Général Beuret;2000_PARIS
VILLA DES GOBELINS;villa des Gobelins;villa;des;Gobelins;2000_PARIS
RUE DOSNE;rue Dosne;rue;;Dosne;2000_PARIS
RUE DULONG;rue Dulong;rue;;Dulong;2000_PARIS
RUE GAY-LUSSAC;rue Gay-Lussac;rue;;Gay-Lussac;2000_PARIS
AVENUE DES GOBELINS;avenue des Gobelins;avenue;des;Gobelins;2000_PARIS
RUE HENRI TUROT;rue Henri Turot;rue;;Henri Turot;2000_PARIS
PLACE DE FONTENOY-UNESCO;place de Fontenoy-Unesco;place;de;Fontenoy-Unesco;2000_PARIS
RUE DES GLAIEULS;rue des Glaïeuls;rue;des;Glaïeuls;2000_PARIS
RUE FOURCADE;rue Fourcade;rue;;Fourcade;2000_PARIS
RUE JEAN-FRANCOIS GERBILLON;rue Jean-François Gerbillon;rue;;Jean-François Gerbillon;2000_PARIS
RUE EMILE LEVASSOR;rue Émile Levassor;rue;;Émile Levassor;2000_PARIS
RUE MONSIGNY;rue Monsigny;rue;;Monsigny;2000_PARIS
RUE EVETTE;rue Evette;rue;;Evette;2000_PARIS
PASSAGE DU MONT CENIS;passage du Mont Cenis;passage;du;Mont Cenis;2000_PARIS
RUE DES SEPT ARPENTS;rue des Sept Arpents;rue;des;Sept Arpents;2000_PARIS
RUE FRANCOIS DE NEUFCHATEAU;rue François de Neufchâteau;rue;;François de Neufchâteau;2000_PARIS
RUE DE LIEGE;rue de Liège;rue;de;Liège;2000_PARIS
RUE FRANCOIS VILLON;rue François Villon;rue;;François Villon;2000_PARIS
RUE MONDONVILLE;rue Mondonville;rue;;Mondonville;2000_PARIS
RUE DU FOUARRE;rue du Fouarre;rue;du;Fouarre;2000_PARIS
CITE DURMAR;cité Durmar;cité;;Durmar;2000_PARIS
RUE MONTALIVET;rue Montalivet;rue;;Montalivet;2000_PARIS
RUE DU COUEDIC;rue Du Couédic;rue;;Du Couédic;2000_PARIS
AVENUE FELIX FAURE;avenue Félix Faure;avenue;;Félix Faure;2000_PARIS
RUE DUPONT DES LOGES;rue Dupont des Loges;rue;;Dupont des Loges;2000_PARIS
PLACE SOUHAM;place Souham;place;;Souham;2000_PARIS
COURS DE VINCENNES;cours de Vincennes;cours;de;Vincennes;2000_PARIS
PLACE SAINT-JEAN;place Saint-Jean;place;;Saint-Jean;2000_PARIS
RUE DE TALLEYRAND;rue de Talleyrand;rue;de;Talleyrand;2000_PARIS
RUE DES VOLUBILIS;rue des Volubilis;rue;des;Volubilis;2000_PARIS
RUE DES TOURNELLES;rue des Tournelles;rue;des;Tournelles;2000_PARIS
PORTE DE NEUILLY;porte de Neuilly;porte;de;Neuilly;2000_PARIS
VOIE N/19;voie N/19;voie;;N/19;2000_PARIS
RUE DE SAINTE-HELENE;rue de Sainte-Hélène;rue;de;Sainte-Hélène;2000_PARIS
ROUTE DES LACS A BAGATELLE;route des Lacs à Bagatelle;route;des;Lacs à Bagatelle;2000_PARIS
RUE SAINTE-ISAURE;rue Sainte-Isaure;rue;;Sainte-Isaure;2000_PARIS
RUE VERNIER;rue Vernier;rue;;Vernier;2000_PARIS
BOULEVARD SAINT-JACQUES;boulevard Saint-Jacques;boulevard;;Saint-Jacques;2000_PARIS
VOIE DG/12;voie DG/12;voie;;DG/12;2000_PARIS
RUE VAUCANSON;rue Vaucanson;rue;;Vaucanson;2000_PARIS
VOIE BG/18;voie BG/18;voie;;BG/18;2000_PARIS
AVENUE DE TOURVILLE;avenue de Tourville;avenue;de;Tourville;2000_PARIS
BOULEVARD PEREIRE;boulevard Pereire;boulevard;;Pereire;2000_PARIS
RUE NICOLAI;rue Nicolaï;rue;;Nicolaï;2000_PARIS
RUE PIHET;rue Pihet;rue;;Pihet;2000_PARIS
RUE OUDINOT;rue Oudinot;rue;;Oudinot;2000_PARIS
AVENUE DES PAVILLONS;avenue des Pavillons;avenue;des;Pavillons;2000_PARIS
RUE DES PAVILLONS;rue des Pavillons;rue;des;Pavillons;2000_PARIS
RUE NICOLAS FLAMEL;rue Nicolas Flamel;rue;;Nicolas Flamel;2000_PARIS
RUE PETEL;rue Petel;rue;;Petel;2000_PARIS
RUE PHILIBERT DELORME;rue Philibert Delorme;rue;;Philibert Delorme;2000_PARIS
RUE DU PONT AUX CHOUX;rue du Pont aux Choux;rue;du;Pont aux Choux;2000_PARIS
RUE DE NORMANDIE;rue de Normandie;rue;de;Normandie;2000_PARIS
RUE PLICHON;rue Plichon;rue;;Plichon;2000_PARIS
RUE PAUL GERVAIS;rue Paul Gervais;rue;;Paul Gervais;2000_PARIS
RUE DU REPOS;rue du Repos;rue;du;Repos;2000_PARIS
RUE WATT;rue Watt;rue;;Watt;2000_PARIS
RUE JEAN COCTEAU;rue Jean Cocteau;rue;;Jean Cocteau;2000_PARIS
RUE DU PROFESSEUR FLORIAN DELBARRE;rue du Professeur Florian Delbarre;rue;du;Professeur Florian Delbarre;2000_PARIS
VILLA LEANDRE;villa Léandre;villa;;Léandre;2000_PARIS
RUE LE DANTEC;rue Le Dantec;rue;;Le Dantec;2000_PARIS
RUE DU PROFESSEUR GOSSET;rue du Professeur Gosset;rue;du;Professeur Gosset;2000_PARIS
RUE DE PRONY;rue de Prony;rue;de;Prony;2000_PARIS
RUE RENNEQUIN;rue Rennequin;rue;;Rennequin;2000_PARIS
RUE SEVERO;rue Severo;rue;;Severo;2000_PARIS
ALLEE JEAN PAULHAN;allée Jean Paulhan;allée;;Jean Paulhan;2000_PARIS
CITE NEGRIER;cité Négrier;cité;;Négrier;2000_PARIS
RUE MODIGLIANI;rue Modigliani;rue;;Modigliani;2000_PARIS
GALERIE DE NEMOURS;galerie de Nemours;galerie;de;Nemours;2000_PARIS
PLACE PAUL LEAUTAUD;place Paul Léautaud;place;;Paul Léautaud;2000_PARIS
COUR DE LA MAISON BRULEE;cour de la Maison Brulée;cour;de la;Maison Brulée;2000_PARIS
RUE DES PERICHAUX;rue des Périchaux;rue;des;Périchaux;2000_PARIS
RUE DU MARCHE ORDENER;rue du Marché Ordener;rue;du;Marché Ordener;2000_PARIS
RUE DE MONTPENSIER;rue de Montpensier;rue;de;Montpensier;2000_PARIS
RUE DE MONTREUIL;rue de Montreuil;rue;de;Montreuil;2000_PARIS
RUE DE MARIVAUX;rue de Marivaux;rue;de;Marivaux;2000_PARIS
RUE DES MARRONNIERS;rue des Marronniers;rue;des;Marronniers;2000_PARIS
BOULEVARD MORLAND;boulevard Morland;boulevard;;Morland;2000_PARIS
RUE PIEMONTESI;rue Piémontési;rue;;Piémontési;2000_PARIS
RUE PIERRE VILLEY;rue Pierre Villey;rue;;Pierre Villey;2000_PARIS
PLACE OZANAM;place Ozanam;place;;Ozanam;2000_PARIS
RUE MAITRE ALBERT;rue Maître Albert;rue;;Maître Albert;2000_PARIS
RUE MARIO NIKIS;rue Mario Nikis;rue;;Mario Nikis;2000_PARIS
COUR DE LA METAIRIE;cour de la Métairie;cour;de la;Métairie;2000_PARIS
AVENUE DU MARECHAL FAYOLLE;avenue du Maréchal Fayolle;avenue;du;Maréchal Fayolle;2000_PARIS
VILLA MONCEAU;villa Monceau;villa;;Monceau;2000_PARIS
IMPASSE MILORD;impasse Milord;impasse;;Milord;2000_PARIS
RUE POISSONNIERE;rue Poissonnière;rue;;Poissonnière;2000_PARIS
RUE DU PONT LOUIS-PHILIPPE;rue du Pont Louis-Philippe;rue;du;Pont Louis-Philippe;2000_PARIS
RUE DU PETIT MOINE;rue du Petit Moine;rue;du;Petit Moine;2000_PARIS
RUE NOEL BALLAY;rue Noël Ballay;rue;;Noël Ballay;2000_PARIS
RUE DES PLATRIERES;rue des Plâtrières;rue;des;Plâtrières;2000_PARIS
RUE DE PERIGUEUX;rue de Périgueux;rue;de;Périgueux;2000_PARIS
VOIE AQ/16;voie AQ/16;voie;;AQ/16;2000_PARIS
VOIE AC/19;voie AC/19;voie;;AC/19;2000_PARIS
VOIE AD/15;voie AD/15;voie;;AD/15;2000_PARIS
RUE DES PETITS PERES;rue des Petits Pères;rue;des;Petits Pères;2000_PARIS
CHEMIN DU CIMETIERE;chemin du Cimetière;chemin;du;Cimetière;2000_PARIS
RUE PAUL DE KOCK;rue Paul de Kock;rue;;Paul de Kock;2000_PARIS
AVENUE DU POLYGONE;avenue du Polygone;avenue;du;Polygone;2000_PARIS
RUE DE PASSY;rue de Passy;rue;de;Passy;2000_PARIS
CITE LEROY;cité Leroy;cité;;Leroy;2000_PARIS
RUE DES LAVANDIERES SAINTE-OPPORTUNE;rue des Lavandières Sainte-Opportune;rue;des;Lavandières Sainte-Opportune;2000_PARIS
RUE DU JAVELOT;rue du Javelot;rue;du;Javelot;2000_PARIS
PLACE JOHANN STRAUSS;place Johann Strauss;place;;Johann Strauss;2000_PARIS
RUE LOUIS LE GRAND;rue Louis le Grand;rue;;Louis le Grand;2000_PARIS
PONT LOUIS-PHILIPPE;pont Louis-Philippe;pont;;Louis-Philippe;2000_PARIS
RUE MASSILLON;rue Massillon;rue;;Massillon;2000_PARIS
AVENUE DE VERZY;avenue de Verzy;avenue;de;Verzy;2000_PARIS
RUE LA PEROUSE;rue La Pérouse;rue;;La Pérouse;2000_PARIS
RUE LE VERRIER;rue Le Verrier;rue;;Le Verrier;2000_PARIS
RUE DE LA MISSION MARCHAND;rue de la Mission Marchand;rue;de la;Mission Marchand;2000_PARIS
PASSAGE DU JEU DE BOULES;passage du Jeu de Boules;passage;du;Jeu de Boules;2000_PARIS
BOULEVARD JOURDAN;boulevard Jourdan;boulevard;;Jourdan;2000_PARIS
RUE JULES DUMIEN;rue Jules Dumien;rue;;Jules Dumien;2000_PARIS
CITE JANDELLE;cité Jandelle;cité;;Jandelle;2000_PARIS
RUE LA QUINTINIE;rue La Quintinie;rue;;La Quintinie;2000_PARIS
RUE LOUIS LOUCHEUR;rue Louis Loucheur;rue;;Louis Loucheur;2000_PARIS
RUE DE LOURMEL;rue de Lourmel;rue;de;Lourmel;2000_PARIS
VILLA GAUDELET;villa Gaudelet;villa;;Gaudelet;2000_PARIS
RUE HENRI HUCHARD;rue Henri Huchard;rue;;Henri Huchard;2000_PARIS
RUE HUYSMANS;rue Huysmans;rue;;Huysmans;2000_PARIS
RUE HENNER;rue Henner;rue;;Henner;2000_PARIS
VILLA DE GUELMA;villa de Guelma;villa;de;Guelma;2000_PARIS
PLACE GEORGES BERRY;place Georges Berry;place;;Georges Berry;2000_PARIS
RUE GEORGE EASTMAN;rue George Eastman;rue;;George Eastman;2000_PARIS
RUE GREFFULHE;rue Greffulhe;rue;;Greffulhe;2000_PARIS
RUE GROS;rue Gros;rue;;Gros;2000_PARIS
RUE GIRODET;rue Girodet;rue;;Girodet;2000_PARIS
RUE HIPPOLYTE MAINDRON;rue Hippolyte Maindron;rue;;Hippolyte Maindron;2000_PARIS
RUE JACQUEMONT;rue Jacquemont;rue;;Jacquemont;2000_PARIS
RUE LEFEBVRE;rue Lefebvre;rue;;Lefebvre;2000_PARIS
RUE DE NAVARRE;rue de Navarre;rue;de;Navarre;2000_PARIS
PLACE DU GENERAL TESSIER DE MARGUERITTES;place du Général Tessier de Marguerittes;place;du;Général Tessier de Marguerittes;2000_PARIS
RUE DES MOULINS;rue des Moulins;rue;des;Moulins;2000_PARIS
RUE VIALA;rue Viala;rue;;Viala;2000_PARIS
IMPASSE MAUBERT;impasse Maubert;impasse;;Maubert;2000_PARIS
BOULEVARD DE LA GUYANE;boulevard de la Guyane;boulevard;de la;Guyane;2000_PARIS
RUE DE VEZELAY;rue de Vézelay;rue;de;Vézelay;2000_PARIS
RUE DES MONTIBOEUFS;rue des Montiboeufs;rue;des;Montiboeufs;2000_PARIS
RUE GUILLAUME BERTRAND;rue Guillaume Bertrand;rue;;Guillaume Bertrand;2000_PARIS
RUE SAINT-LOUIS EN L'ILE;rue Saint-Louis en l'Île;rue;;Saint-Louis en l'Île;2000_PARIS
RUE MABILLON;rue Mabillon;rue;;Mabillon;2000_PARIS
PONT D'IENA;pont d'Iéna;pont;d';Iéna;2000_PARIS
RUE MATHURIN REGNIER;rue Mathurin Régnier;rue;;Mathurin Régnier;2000_PARIS
RUE ADA LOVELACE;rue Ada Lovelace;rue;;Ada Lovelace;2000_PARIS
RUE GEORGES DUHAMEL;rue Georges Duhamel;rue;;Georges Duhamel;2000_PARIS
ROUTE DU BAC;route du Bac;route;du;Bac;2000_PARIS
RUE SIMONE IFF;rue Simone Iff;rue;;Simone Iff;2000_PARIS
PLACE DJANGO REINHARDT;place Django Reinhardt;place;;Django Reinhardt;2000_PARIS
VOIE LEONIE KASTNER;voie Léonie Kastner;voie;;Léonie Kastner;2000_PARIS
ESPLANADE ANDRE CHAMSON;esplanade André Chamson;esplanade;;André Chamson;2000_PARIS
PLACE PIERRE LAROQUE;place Pierre Laroque;place;;Pierre Laroque;2000_PARIS
PROMENADE JULES ISAAC;promenade Jules Isaac;promenade;;Jules Isaac;2000_PARIS
PASSERELLE LEOPOLD SEDAR SENGHOR;passerelle Léopold Sédar Senghor;passerelle;;Léopold Sédar Senghor;2000_PARIS
RUE DE TURIN;rue de Turin;rue;de;Turin;2000_PARIS
PASSAGE ROLAND TOPOR;passage Roland Topor;passage;;Roland Topor;2000_PARIS
RUE DES TERRES AU CURE;rue des Terres au Curé;rue;des;Terres au Curé;2000_PARIS
ALLEE EUGENIE;allée Eugénie;allée;;Eugénie;2000_PARIS
RUE MARGUERITE DE ROCHECHOUART;rue Marguerite de Rochechouart;rue;;Marguerite de Rochechouart;2000_PARIS
AVENUE DE LIEGE;avenue de Liège;avenue;de;Liège;2000_PARIS
PORT DE TOLBIAC;port de Tolbiac;port;de;Tolbiac;2000_PARIS
COUR DES TROIS FRERES;cour des Trois Frères;cour;des;Trois Frères;2000_PARIS
RUE DU VAL DE GRACE;rue du Val de Grâce;rue;du;Val de Grâce;2000_PARIS
RUE TROYON;rue Troyon;rue;;Troyon;2000_PARIS
IMPASSE SAINT-EUSTACHE;impasse Saint-Eustache;impasse;;Saint-Eustache;2000_PARIS
VOIE A/1;voie A/1;voie;;A/1;2000_PARIS
RUE CHARLES-FRANCOIS DUPUIS;rue Charles-François Dupuis;rue;;Charles-François Dupuis;2000_PARIS
ESPLANADE CHARLES-AXEL GUILLAUMOT;esplanade Charles-Axel Guillaumot;esplanade;;Charles-Axel Guillaumot;2000_PARIS
RUE TOLAIN;rue Tolain;rue;;Tolain;2000_PARIS
PROMENADE YEHUDI MENUHIN;promenade Yehudi Menuhin;promenade;;Yehudi Menuhin;2000_PARIS
PLACE ALICE GUY;place Alice Guy;place;;Alice Guy;2000_PARIS
PLACE DE VALOIS;place de Valois;place;de;Valois;2000_PARIS
PLACE DE FLORE;place de Flore;place;de;Flore;2000_PARIS
VILLA ALEXANDRE TANSMAN;villa Alexandre Tansman;villa;;Alexandre Tansman;2000_PARIS
PLACE AMBROISE CROIZAT;place Ambroise Croizat;place;;Ambroise Croizat;2000_PARIS
ALLEE JEAN-FRANCOIS DIVRY;allée Jean-François Divry;allée;;Jean-François Divry;2000_PARIS
RUE AGAR;rue Agar;rue;;Agar;2000_PARIS
PLACE AUGUST STRINDBERG;place August Strindberg;place;;August Strindberg;2000_PARIS
SQUARE TRUDAINE;square Trudaine;square;;Trudaine;2000_PARIS
RUE BELLART;rue Bellart;rue;;Bellart;2000_PARIS
PLACE JENNY ALPHA;place Jenny Alpha;place;;Jenny Alpha;2000_PARIS
PLACE GABRIEL KASPEREIT;place Gabriel Kaspereit;place;;Gabriel Kaspereit;2000_PARIS
IMPASSE VANDAL;impasse Vandal;impasse;;Vandal;2000_PARIS
ALLEE NICOLE GIRARD-MANGIN;allée Nicole Girard-Mangin;allée;;Nicole Girard-Mangin;2000_PARIS
RUE RENE CLAIR;rue René Clair;rue;;René Clair;2000_PARIS
RUE GILBERT CESBRON;rue Gilbert Cesbron;rue;;Gilbert Cesbron;2000_PARIS
RUE TROUSSEAU;rue Trousseau;rue;;Trousseau;2000_PARIS
ALLEE DU PHILOSOPHE;allée du Philosophe;allée;du;Philosophe;2000_PARIS
PLACE LOUIS BAILLOT;place Louis Baillot;place;;Louis Baillot;2000_PARIS
RUE THOREL;rue Thorel;rue;;Thorel;2000_PARIS
RUE MARGUERITE LONG;rue Marguerite Long;rue;;Marguerite Long;2000_PARIS
RUE GERMAINE DE STAEL;rue Germaine de Staël;rue;;Germaine de Staël;2000_PARIS
ESPLANADE LEO HAMON;esplanade Léo Hamon;esplanade;;Léo Hamon;2000_PARIS
RUE ELISABETH VIGEE LE BRUN;rue Élisabeth Vigée Le Brun;rue;;Élisabeth Vigée Le Brun;2000_PARIS
RUE NICOLE CHOURAQUI;rue Nicole Chouraqui;rue;;Nicole Chouraqui;2000_PARIS
IMPASSE SAINT-VINCENT;impasse Saint-Vincent;impasse;;Saint-Vincent;2000_PARIS
VOIE CQ/15;voie CQ/15;voie;;CQ/15;2000_PARIS
RUE ALBERIC MAGNARD;rue Albéric Magnard;rue;;Albéric Magnard;2000_PARIS
RUE ALEXANDRE CABANEL;rue Alexandre Cabanel;rue;;Alexandre Cabanel;2000_PARIS
RUE DE L'AQUEDUC;rue de l'Aqueduc;rue;de l';Aqueduc;2000_PARIS
BOULEVARD AUGUSTE BLANQUI;boulevard Auguste Blanqui;boulevard;;Auguste Blanqui;2000_PARIS
VILLA ARMAND FALLIERES;villa Armand Fallières;villa;;Armand Fallières;2000_PARIS
PLACE DE L'ABBE GEORGES HENOCQUE;place de l'Abbé Georges Hénocque;place;de l';Abbé Georges Hénocque;2000_PARIS
PLACE HENRI MALBERG;place Henri Malberg;place;;Henri Malberg;2000_PARIS
CITE D'ANGOULEME;cité d'Angoulême;cité;d';Angoulême;2000_PARIS
PLACE DE L'ARGONNE;place de l'Argonne;place;de l';Argonne;2000_PARIS
RUE MARCELINE DESBORDES-VALMORE;rue Marceline Desbordes-Valmore;rue;;Marceline Desbordes-Valmore;2000_PARIS
PLACE LINO VENTURA;place Lino Ventura;place;;Lino Ventura;2000_PARIS
PLACE CLAUDE FRANCOIS;place Claude François;place;;Claude François;2000_PARIS
RUE DE L'AISNE;rue de l'Aisne;rue;de l';Aisne;2000_PARIS
RUE DE L'AMIRAL D'ESTAING;rue de l'Amiral d'Estaing;rue;de l';Amiral d' Estaing;2000_PARIS
RUE ALIBERT;rue Alibert;rue;;Alibert;2000_PARIS
CITE D'AUSTERLITZ;cité d'Austerlitz;cité;d';Austerlitz;2000_PARIS
PLACE DE BARCELONE;place de Barcelone;place;de;Barcelone;2000_PARIS
RUE ALPHONSE DAUDET;rue Alphonse Daudet;rue;;Alphonse Daudet;2000_PARIS
AVENUE DAUMESNIL;avenue Daumesnil;avenue;;Daumesnil;2000_PARIS
ALLEE DARIUS MILHAUD;allée Darius Milhaud;allée;;Darius Milhaud;2000_PARIS
RUE BAILLY;rue Bailly;rue;;Bailly;2000_PARIS
PASSAGE ABEL LEBLANC;passage Abel Leblanc;passage;;Abel Leblanc;2000_PARIS
RUE DE BEAUCE;rue de Beauce;rue;de;Beauce;2000_PARIS
RUE DU SOLEIL;rue du Soleil;rue;du;Soleil;2000_PARIS
RUE ALBERT WILLEMETZ;rue Albert Willemetz;rue;;Albert Willemetz;2000_PARIS
SQUARE ALBERT BARTHOLOME;square Albert Bartholomé;square;;Albert Bartholomé;2000_PARIS
RUE DES ARENES;rue des Arènes;rue;des;Arènes;2000_PARIS
RUE DE L'AMIRAL MOUCHEZ;rue de l'Amiral Mouchez;rue;de l';Amiral Mouchez;2000_PARIS
RUE CHARLES GERHARDT;rue Charles Gerhardt;rue;;Charles Gerhardt;2000_PARIS
PLACE DU DOCTEUR ANTOINE BECLERE;place du Docteur Antoine Béclère;place;du;Docteur Antoine Béclère;2000_PARIS
RUE ARTHUR RANC;rue Arthur Ranc;rue;;Arthur Ranc;2000_PARIS
RUE CLAUDE GARAMOND;rue Claude Garamond;rue;;Claude Garamond;2000_PARIS
IMPASSE DES ARTS;impasse des Arts;impasse;des;Arts;2000_PARIS
RUE DE CHEVERUS;rue de Cheverus;rue;de;Cheverus;2000_PARIS
RUE DENIS POISSON;rue Denis Poisson;rue;;Denis Poisson;2000_PARIS
RUE COPREAUX;rue Copreaux;rue;;Copreaux;2000_PARIS
CITE DE CRUSSOL;cité de Crussol;cité;de;Crussol;2000_PARIS
PASSAGE DE LA BRIE;passage de la Brie;passage;de la;Brie;2000_PARIS
RUE DU CLOS;rue du Clos;rue;du;Clos;2000_PARIS
RUE AMELOT;rue Amelot;rue;;Amelot;2000_PARIS
RUE DU CROISSANT;rue du Croissant;rue;du;Croissant;2000_PARIS
IMPASSE DU CURE;impasse du Curé;impasse;du;Curé;2000_PARIS
RUE DE LA CROIX NIVERT;rue de la Croix Nivert;rue;de la;Croix Nivert;2000_PARIS
ALLEE DES REFUZNIKS;allée des Refuzniks;allée;des;Refuzniks;2000_PARIS
RUE DU COLONEL MONTEIL;rue du Colonel Monteil;rue;du;Colonel Monteil;2000_PARIS
PLACE DES COMBATTANTS EN AFRIQUE DU NORD;place des Combattants en Afrique du Nord;place;des;Combattants en Afrique du Nord;2000_PARIS
RUE DU CHATEAU DES RENTIERS;rue du Château des Rentiers;rue;du;Château des Rentiers;2000_PARIS
RUE CUSTINE;rue Custine;rue;;Custine;2000_PARIS
BOULEVARD DIDEROT;boulevard Diderot;boulevard;;Diderot;2000_PARIS
RUE CHARLES LAMOUREUX;rue Charles Lamoureux;rue;;Charles Lamoureux;2000_PARIS
RUE CATULLE MENDES;rue Catulle Mendès;rue;;Catulle Mendès;2000_PARIS
SQUARE DELAMBRE;square Delambre;square;;Delambre;2000_PARIS
RUE DES COLONELS RENARD;rue des Colonels Renard;rue;des;Colonels Renard;2000_PARIS
RUE DE LA COLLEGIALE;rue de la Collégiale;rue;de la;Collégiale;2000_PARIS
RUE CUGNOT;rue Cugnot;rue;;Cugnot;2000_PARIS
VILLA DAMREMONT;villa Damrémont;villa;;Damrémont;2000_PARIS
RUE DU BOUQUET DE LONGCHAMP;rue du Bouquet de Longchamp;rue;du;Bouquet de Longchamp;2000_PARIS
RUE BOUCHUT;rue Bouchut;rue;;Bouchut;2000_PARIS
RUE DU CHAMP DE MARS;rue du Champ de Mars;rue;du;Champ de Mars;2000_PARIS
RUE CHORON;rue Choron;rue;;Choron;2000_PARIS
IMPASSE DE BERGAME;impasse de Bergame;impasse;de;Bergame;2000_PARIS
IMPASSE DE CASTEGGIO;impasse de Casteggio;impasse;de;Casteggio;2000_PARIS
AVENUE CHARLES FLOQUET;avenue Charles Floquet;avenue;;Charles Floquet;2000_PARIS
RUE BOILEAU;rue Boileau;rue;;Boileau;2000_PARIS
AVENUE CONSTANT COQUELIN;avenue Constant Coquelin;avenue;;Constant Coquelin;2000_PARIS
CITE DE CHABROL;cité de Chabrol;cité;de;Chabrol;2000_PARIS
VILLA CASTEL;villa Castel;villa;;Castel;2000_PARIS
PASSAGE BERZELIUS;passage Berzélius;passage;;Berzélius;2000_PARIS
RUE CHAPTAL;rue Chaptal;rue;;Chaptal;2000_PARIS
PASSAGE BINDER;passage Binder;passage;;Binder;2000_PARIS
PONT DE GRENELLE-CADETS DE SAUMUR;pont de Grenelle-Cadets de Saumur;pont;de;Grenelle-Cadets de Saumur;2000_PARIS
PORT DE GRENELLE;port de Grenelle;port;de;Grenelle;2000_PARIS
RUE DE LA GRANGE BATELIERE;rue de la Grange Batelière;rue;de la;Grange Batelière;2000_PARIS
RUE CAROLUS DURAN;rue Carolus Duran;rue;;Carolus Duran;2000_PARIS
RUE BERTHE;rue Berthe;rue;;Berthe;2000_PARIS
COUR DE L'INDUSTRIE;cour de l'Industrie;cour;de l';Industrie;2000_PARIS
PLACE DU GENERAL STEFANIK;place du Général Stefanik;place;du;Général Stefanik;2000_PARIS
RUE BERLIOZ;rue Berlioz;rue;;Berlioz;2000_PARIS
IMPASSE DES BOURDONNAIS;impasse des Bourdonnais;impasse;des;Bourdonnais;2000_PARIS
AVENUE INGRES;avenue Ingres;avenue;;Ingres;2000_PARIS
BOULEVARD CARNOT;boulevard Carnot;boulevard;;Carnot;2000_PARIS
RUE CAROLINE;rue Caroline;rue;;Caroline;2000_PARIS
AVENUE BERTIE ALBRECHT;avenue Bertie Albrecht;avenue;;Bertie Albrecht;2000_PARIS
VOIE C/15;voie C/15;voie;;C/15;2000_PARIS
PLACE DE VENETIE;place de Vénétie;place;de;Vénétie;2000_PARIS
PLACE DU VENEZUELA;place du Vénézuela;place;du;Vénézuela;2000_PARIS
RUE DE VILLERSEXEL;rue de Villersexel;rue;de;Villersexel;2000_PARIS
VOIE BC/14;voie BC/14;voie;;BC/14;2000_PARIS
ALLEE DES FORTIFICATIONS;allée des Fortifications;allée;des;Fortifications;2000_PARIS
ROUTE DU MOULIN ROUGE;route du Moulin Rouge;route;du;Moulin Rouge;2000_PARIS
VOIE CD/15;voie CD/15;voie;;CD/15;2000_PARIS
VOIE BI/16;voie BI/16;voie;;BI/16;2000_PARIS
